"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21"
"128",1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"129",0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"130",0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"131",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"132",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"133",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1
"137",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"140",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"141",0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
"142",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"143",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"144",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"145",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0
"146",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"147",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0
"148",0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"149",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"150",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"151",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"152",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1
"155",0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1
"156",0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1
"157",0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0
"158",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"159",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"160",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"161",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0
"162",0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"163",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
"164",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"165",1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
"166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"168",0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"169",0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0
"170",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
"171",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"172",1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
"173",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"174",1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0
"175",1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"176",0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1
"177",0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"178",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"179",0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1
"180",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"181",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"183",0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"184",0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
"185",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"186",0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1
"187",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1
"189",0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1
"192",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
"193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"194",0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0
"195",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1
"196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"197",0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
"198",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"202",0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0
"203",0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1
"204",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0
"205",0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1
"206",1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"207",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"208",0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1
"209",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
"210",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"211",0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1
"212",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"214",0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
"215",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
"216",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"217",0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1
"218",0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1
"219",0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1
"220",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"221",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"222",0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
"223",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"224",1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0
"225",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
"226",1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"227",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"228",0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"229",0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"230",0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1
"231",0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"233",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
"234",0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"235",0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
"236",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"237",0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"238",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"239",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1
"240",0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
"241",1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
"242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243",0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"244",0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1
"245",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"246",0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"247",0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1
"248",0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1
"249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1
"251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"252",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
"253",0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1
"254",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
"255",1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1
"256",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
"257",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"259",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"260",0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0
"261",0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1
"262",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
"263",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"265",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"266",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
"267",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"268",0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1
"269",0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271",0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0
"272",0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"273",0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1
"274",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
